origin_location_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263
1,0.000000,60.609386,61.525588,38.864624,68.740186,22.275000,52.292446,53.583333,53.500000,48.562777,33.821667,32.365278,31.422327,22.771667,57.388333,57.508580,42.120000,61.558303,56.258333,59.866667,39.983333,41.696667,43.399444,51.556738,36.258333,44.555000,72.396667,51.412777,42.205000,61.337143,49.006698,55.916667,37.207407,40.338889,52.271667,45.205000,49.186667,56.475710,55.305000,28.671667,55.126617,52.238333,51.152299,73.082778,33.375247,65.490031,59.990031,44.024115,35.071667,41.917352,64.490086,30.846667,56.871527,31.971667,44.321667,52.587711,54.883333,60.056698,65.331155,50.429444,44.128333,40.521667,53.755000,59.450000,36.643038,37.427830,29.838333,37.531155,54.552778,45.611366,48.738333,55.127917,58.916667,52.765278,52.143849,57.327222,51.438333,62.198094,37.366636,42.549444,68.038889,52.502310,45.937500,62.238333,44.155000,59.738333,32.875588,34.185157,38.638333,35.356853,59.338333,54.294699,49.005000,57.811111,55.216667,53.018977,31.200000,54.833333,82.633333,41.758610,55.763333,55.052310,inf,inf,inf,23.438333,39.362211,30.438333,51.288333,inf,59.961007,44.088333,33.871527,32.927728,23.191667,57.698048,64.188333,57.688333,48.071667,55.096338,48.816667,55.312777,40.446667,52.321667,30.235644,56.555000,53.808580,56.675247,49.096667,54.820617,60.769444,40.155000,34.171667,49.591667,52.061111,60.118491,41.319777,45.416667,54.157071,47.683523,47.414761,47.568843,44.836987,33.444699,48.384183,52.020686,58.113005,36.229444,50.466111,39.388333,49.703770,53.993520,56.925247,61.754242,50.616667,52.766111,44.618977,32.690086,57.674329,46.452310,45.375209,45.766861,47.320823,40.411041,49.688333,50.128788,57.280971,52.397957,60.770321,43.224541,55.016667,34.266667,55.800833,63.473365,59.996110,62.975588,47.005000,35.171667,46.683333,53.271667,29.238333,59.013005,57.905000,64.950685,67.096110,38.661007,75.104378,42.605000,37.595476,36.566111,59.411140,53.305000,52.005506,53.131290,30.549444,51.776666,44.229444,48.843038,inf,56.613889,62.696667,51.958333,50.521667,82.550000,55.862777,62.168491,50.938372,51.646667,32.180850,40.155000,31.221045,55.962777,51.575588,31.405000,44.396110,45.054378,42.191667,47.996110,47.829444,54.313333,23.108333,55.419286,51.128947,40.530971,46.561667,43.671667,39.900833,32.305000,44.692108,46.139848,24.900000,37.277571,40.705000,37.225093,52.488333,47.383333,50.559624,49.196862,47.492928,58.990031,56.853654,55.256698,51.438333,55.570833,55.833333,37.056698,52.682778,55.429672,32.113005,63.698094,52.172222,53.683921,54.028032,62.217352,46.028598,41.730000,37.097593,55.612777,56.990031,45.440000,32.105039,48.571667,48.759722
2,inf,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3,64.189018,50.904386,0.000000,40.721614,58.433333,54.958333,32.866667,34.183333,38.825000,37.238889,61.973054,42.765686,47.219784,54.563889,37.875000,34.700000,45.461111,32.686111,31.122222,28.650000,60.766667,58.961111,61.125000,37.965517,49.616667,59.604947,62.691667,33.583333,56.872222,51.632143,45.766667,6.533333,45.861111,47.913889,53.733333,43.372222,46.585000,45.677778,48.376194,51.411111,34.202222,29.119697,38.130952,71.533333,45.272759,35.758333,29.033333,38.246550,48.625000,33.627778,12.000000,47.408333,41.171377,51.658333,54.738889,38.340000,36.183333,17.400000,46.750000,21.550000,52.213542,52.466667,42.766667,40.883333,45.284259,39.241667,58.960983,40.520337,31.966667,32.294172,63.866667,58.733333,44.467647,26.766667,32.133333,48.491992,49.972222,36.050000,39.476228,39.080556,18.655556,25.891667,32.795000,81.727778,54.516667,46.311111,44.218207,42.257124,54.016667,39.031318,58.238889,38.030556,29.783333,32.066667,36.561111,37.236111,48.726667,33.483333,78.148625,36.550418,25.416667,43.291667,inf,inf,inf,49.858333,34.324697,56.061111,65.966667,inf,55.000418,41.494444,39.623054,41.340993,55.875000,33.863889,58.722222,56.466667,27.933333,26.633333,34.288889,43.050000,54.808333,43.288889,42.075000,18.583333,37.233333,40.100000,36.260897,44.672222,37.933333,30.450000,54.854947,31.083333,33.700000,38.944444,33.465686,25.616667,41.625000,36.548390,33.469875,38.966877,37.716667,44.993435,39.282837,37.841667,31.833333,43.628789,60.655556,53.750000,38.408333,38.047767,40.350000,52.049242,51.913889,68.748115,32.969444,45.022950,36.155556,30.669444,33.283507,25.708333,35.480584,34.998625,58.538889,38.306952,40.000000,34.794608,36.133333,32.225709,41.918006,71.510983,36.579167,19.000000,37.516667,68.700000,45.600000,55.641667,36.474284,42.283333,48.727778,23.362500,29.175000,39.716667,23.733333,38.225112,67.805556,57.667778,46.223333,56.055556,27.250000,34.083333,38.143004,32.033333,53.341667,35.872917,35.802778,40.811111,inf,30.866667,59.276538,40.930128,37.094444,78.065292,37.236111,58.991667,32.911111,23.283333,44.844216,54.114286,44.785375,17.866667,26.155556,59.158333,35.969444,37.755556,43.083333,36.672222,36.505556,34.200000,55.791667,45.714286,33.400000,37.124362,35.800000,38.218333,56.125709,49.300000,31.647059,36.709638,45.366667,41.395469,32.138760,36.082167,32.350000,36.926358,33.110423,40.009202,41.539836,28.016667,24.808333,25.525000,28.433333,33.491667,67.755427,39.107405,26.450000,36.533333,42.917974,30.179167,67.641667,25.600000,40.710839,19.566667,42.969444,44.801457,51.108333,42.133333,26.016667,32.994444,46.392541,36.646957,33.901796
4,38.884823,43.084012,31.908333,0.000000,47.212654,20.561111,22.140409,25.660444,29.438889,19.609626,22.316667,14.485077,14.988889,20.166667,28.633333,29.333333,21.740000,29.579204,26.583333,32.583333,35.309626,32.750000,40.794444,24.002381,17.808333,18.883333,49.539583,21.443939,33.242960,43.811769,30.025510,33.025877,13.804167,20.406293,35.204310,26.190977,23.159722,30.233333,32.817500,17.091667,22.725840,18.059524,21.574242,50.754167,11.024405,39.677111,28.133333,20.874419,21.916667,22.404321,34.654204,19.043103,29.242960,18.983333,32.762538,24.620977,27.554204,29.663725,43.883333,21.476293,27.254167,26.416667,30.442960,35.516667,14.338889,14.740000,27.233333,16.742328,25.543103,18.783333,33.761111,35.280460,31.892960,19.686667,14.366667,31.195833,29.737500,27.916667,5.387538,17.118894,38.266667,25.761478,18.433333,54.765152,24.116667,37.226293,10.466327,9.933333,18.600000,13.829321,35.550000,27.466667,20.250000,27.816667,25.368056,26.809770,19.836667,27.751293,57.462538,18.963889,32.966667,21.050000,inf,inf,inf,20.833333,8.193778,27.833333,45.422222,inf,28.504204,17.669792,9.830423,9.509662,21.477778,26.043079,41.092960,41.592995,18.042177,27.719167,24.755556,26.359626,26.104167,25.659626,10.962879,26.525510,26.300000,29.166667,18.733333,27.123263,29.130556,22.629626,14.133333,19.916667,24.166667,27.822222,8.980556,22.750000,34.342960,14.442029,14.060833,23.273333,23.046970,9.813846,15.404762,21.734211,28.738889,7.276293,33.209626,27.883333,22.573452,23.083333,29.416667,44.228869,31.679167,39.168440,23.457775,16.184211,25.636111,21.494444,18.217045,13.743182,20.380000,15.244762,30.930513,27.122984,21.626437,13.533333,29.073333,11.106250,28.466667,39.783333,27.045833,36.192177,30.027273,40.566327,33.362500,26.937500,22.973148,29.959626,22.150980,22.700000,27.541667,37.705392,33.850000,16.090816,47.570833,25.091667,22.429167,28.509770,35.342177,24.464583,18.541667,14.266667,22.016667,18.700000,15.276293,26.538889,inf,35.833333,43.004167,24.918398,28.009626,58.311429,26.909626,34.762538,30.044444,21.283333,11.236508,31.866667,11.186667,25.258333,21.958333,28.800000,15.442960,17.520833,13.837500,19.042960,18.876293,29.559770,21.394444,32.726293,15.633333,4.876437,20.687500,19.084310,21.975000,26.818750,11.509211,20.804000,14.250249,6.120977,10.675510,12.180833,22.458844,18.681111,17.371569,22.242535,25.618354,30.713889,30.476190,32.530556,25.850000,25.016667,41.370871,18.454286,22.041667,19.116667,13.085106,27.233333,36.649660,23.600000,27.200000,29.716667,17.784028,13.633232,22.787500,26.659626,33.479204,19.029310,13.181818,16.063725,17.060606
5,67.058333,82.598830,69.116667,50.942917,0.000000,59.142063,59.072075,64.228407,66.183333,59.690236,68.834783,45.580952,49.526901,58.747619,67.513879,61.550000,56.416667,57.950000,60.644444,66.052716,70.200000,68.519608,52.875000,57.529661,49.918889,62.650000,91.173569,53.876379,70.183494,83.326587,69.500000,67.583333,50.104762,51.483333,69.858333,61.322222,59.525278,46.266667,57.816667,54.144444,57.790600,56.045238,50.719604,87.054762,39.016667,74.522187,64.965000,55.764027,54.776852,56.776301,68.366667,51.616667,69.323569,54.994444,75.308494,63.409713,72.000188,65.561741,82.633333,60.116667,60.990000,57.383333,70.523569,54.458333,48.860000,50.545455,65.814286,58.384300,63.915152,57.672043,72.646429,71.793939,71.973569,55.062793,52.046288,71.563333,70.434680,60.772222,49.833522,52.020833,70.783333,62.150000,62.864268,88.610606,63.300000,67.766667,45.851449,45.950000,61.750000,53.742929,72.447619,66.355376,59.130546,59.466667,66.647808,68.845833,53.828333,63.094444,54.058333,56.371825,54.938889,68.359722,inf,inf,inf,58.435000,51.561111,66.414286,79.960234,inf,72.300000,58.437037,50.009877,48.828295,60.058730,51.036049,81.173569,71.941667,56.376667,59.669383,63.636101,66.440236,62.404762,65.740236,48.398718,66.674645,57.568333,60.435000,59.993889,67.203872,63.233046,62.144444,57.283333,58.797213,60.985639,64.208333,53.938158,61.500000,57.316667,50.267416,48.397187,51.567761,54.561705,45.505376,57.271413,52.200000,62.316667,47.356902,61.533333,70.300160,57.377521,54.154762,59.433333,82.902222,72.376347,62.241667,60.445833,52.425714,61.569383,62.279167,46.533333,49.740733,50.482979,54.279815,66.622043,58.070155,62.736270,61.545238,52.283333,53.286546,70.343046,78.364286,64.726379,60.716667,62.459713,75.951449,65.423333,57.083333,59.472947,70.040236,56.031111,62.016667,66.875000,73.603407,67.766667,57.207812,85.958333,65.300000,54.490000,57.283333,58.944444,60.183333,55.473333,59.437500,55.422222,61.193046,55.356902,61.060000,inf,60.110000,83.529012,60.175000,58.550000,95.516667,56.444444,31.358333,64.984713,60.616667,44.586275,70.688889,46.779012,64.488889,59.166667,66.616667,55.523569,58.218013,55.843333,59.123569,58.956902,56.161905,59.975397,72.806902,60.804167,51.833333,61.041667,58.129851,63.208333,62.835417,50.779083,54.811354,46.533494,46.263333,52.786229,53.357456,59.950000,49.184670,42.266667,55.320291,53.489128,69.968333,59.795833,70.040907,54.715000,44.950000,77.466827,58.148529,57.703333,60.958333,51.625926,62.272222,65.250000,61.275000,66.088710,69.025000,55.303333,52.927083,59.279762,66.740236,70.617296,57.759722,47.027273,51.961741,49.493046
6,31.958333,38.334386,41.546667,22.171667,58.630000,0.000000,30.017446,35.180000,35.918889,26.548479,11.546667,16.915417,18.145476,0.496667,35.113333,40.113333,19.845000,43.246667,34.696667,40.680000,23.330000,19.421667,21.124444,38.989259,13.983333,22.280000,50.121667,29.398479,19.930000,39.062143,37.780000,43.563333,15.107444,22.830000,29.996667,22.930000,26.911667,34.200710,33.030000,6.396667,36.246667,29.963333,33.506320,50.807778,19.732073,45.896667,38.274444,27.146667,12.796667,32.359683,46.263333,8.571667,38.580000,9.696667,22.046667,33.738333,40.080000,39.896667,52.700000,29.810189,21.853333,18.246667,31.480000,37.646667,15.980000,16.946667,7.563333,25.180000,33.646667,32.205000,26.463333,32.852917,41.580000,34.522596,32.658924,35.052222,29.163333,41.235542,22.480000,20.274444,50.910189,31.441111,29.496667,39.963333,21.880000,37.463333,12.896667,17.281825,16.363333,25.246667,37.063333,34.880000,26.730000,36.663333,36.813333,33.721667,12.796667,36.735556,66.207778,30.450529,33.488333,36.613333,inf,inf,inf,1.163333,25.878489,8.163333,29.013333,inf,40.580000,21.813333,25.955694,24.941143,0.916667,35.913333,41.913333,35.413333,25.796667,38.231825,31.235556,38.713333,18.171667,30.046667,21.415972,34.280000,37.677619,40.163333,26.821667,32.545617,38.755145,17.880000,11.896667,28.030000,30.646667,40.496667,23.371667,32.019247,31.882071,27.676051,26.452209,31.677173,29.213333,20.038333,27.446667,29.745686,39.737720,19.813333,28.191111,17.113333,38.537576,38.891404,40.794286,39.479242,29.796667,30.491111,25.321667,24.514234,40.027222,27.155000,26.430000,24.554387,30.336435,27.768829,27.413333,39.150588,36.946667,35.705000,40.846667,24.250426,39.146667,20.113333,33.525833,43.946667,37.981812,42.996667,24.730000,12.896667,28.280000,30.996667,6.963333,39.396667,35.630000,46.270000,45.081812,29.181490,54.207778,20.330000,15.320476,14.291111,37.136140,31.030000,33.322593,36.438333,8.274444,35.360556,27.813333,26.755000,inf,44.171667,40.421667,33.555000,28.246667,70.835495,33.848479,43.507778,31.780000,29.371667,18.430809,17.880000,21.963333,39.220000,31.596667,9.130000,27.796667,26.580000,22.896667,27.376856,27.210189,43.763333,0.833333,33.144286,31.107444,24.051780,24.286667,21.396667,17.625833,10.030000,23.433014,23.864848,19.375095,21.146667,18.430000,29.138484,30.213333,28.771667,28.411717,36.650259,34.654873,44.930000,41.230000,42.338333,29.163333,40.096667,50.308428,28.335752,30.407778,41.288333,21.996667,42.735542,39.080000,31.688333,34.624872,41.663333,26.030000,19.455000,14.822593,36.654943,44.952222,26.013333,12.946667,26.296667,26.930000
7,47.177778,40.219719,23.050000,21.258333,51.144444,34.397222,0.000000,7.300000,21.605556,18.656667,42.168750,26.214286,26.288994,34.002778,20.800000,24.566667,18.980000,31.300000,18.750000,30.983333,36.911111,38.188889,50.218333,20.520264,24.599691,40.141667,47.950000,13.283333,34.894444,40.947476,31.314957,29.250000,19.966667,25.391667,35.809671,24.638889,22.871111,25.950000,29.196667,22.652083,22.802222,18.727778,16.698586,54.166667,19.650000,36.193291,31.833333,23.048900,24.630000,17.733333,27.766667,18.216667,17.558333,22.583333,33.966667,20.650000,19.933333,27.888889,32.298291,24.383333,30.663194,31.769444,27.300000,30.650000,25.365385,22.825000,32.433333,21.476337,28.983333,10.950000,41.055000,35.921667,27.036111,15.366667,20.733333,27.575000,26.116667,25.900000,19.384524,15.366667,34.816667,17.230556,13.142857,59.266667,35.783333,30.466667,26.420602,21.983333,33.691358,23.961612,35.180000,19.633333,12.416667,19.983333,16.778571,28.051190,25.683333,20.800000,63.322222,23.998649,25.133333,25.894444,inf,inf,inf,27.618750,20.166667,32.205556,51.514957,inf,42.448649,15.612500,23.259697,21.750000,35.313889,23.808333,37.950000,42.014957,23.790364,23.216667,16.922222,29.266667,32.266667,22.516667,23.958333,25.136667,17.800000,20.666667,15.261765,25.583333,22.050000,19.765333,32.836111,12.083333,16.333333,27.833333,19.878571,11.164957,33.767404,16.192500,13.094444,18.026337,23.262085,23.759671,9.248649,6.309697,24.716667,24.411111,39.883333,34.750000,21.188391,18.816667,20.916667,41.364576,28.058333,49.704115,19.651190,27.556752,19.700000,21.484524,20.676364,14.801667,18.008972,20.172222,34.683333,15.916667,22.633333,20.093030,24.591667,17.203004,17.950000,44.983333,17.188095,29.216667,21.866667,54.248291,30.750000,33.100000,7.258333,26.816667,26.266667,28.400000,23.550000,35.930556,28.966667,24.129204,43.950000,36.202222,28.533333,33.594444,32.250000,16.716667,5.276337,20.633333,24.150000,20.600000,18.183333,21.950000,inf,27.333333,39.383333,11.386667,21.250000,63.238889,25.956667,48.085000,17.016667,17.291667,25.219608,31.877778,26.087711,20.723333,13.100000,42.636111,18.350000,13.900000,10.216667,21.950000,21.783333,25.900000,35.230556,35.029619,7.800000,22.308333,17.066667,11.058025,27.516667,30.916667,13.947778,23.947436,19.766667,21.991667,16.423697,22.034671,27.383333,17.041667,16.448958,23.784572,23.141667,30.200000,25.883333,28.759671,21.900000,19.533333,50.700000,23.212961,26.716667,24.816667,26.939583,27.400000,45.883333,15.208333,19.366667,25.133333,18.741667,14.852778,28.641667,24.133333,32.944444,11.489583,26.971705,14.288889,15.226337
8,44.822222,36.237719,26.383333,22.488889,53.048545,35.327778,5.866667,0.000000,14.305556,15.216667,40.241667,25.633333,29.892628,34.933333,13.500000,17.266667,18.305556,24.000000,11.450000,23.683333,36.755556,36.938889,50.816667,16.316667,24.983333,36.888889,46.183333,8.916667,34.738889,36.965476,28.604167,21.950000,18.705556,26.383333,37.283333,20.308333,22.583333,26.005556,29.041111,25.780556,15.502222,11.427778,19.200132,46.866667,25.183951,33.482500,25.155556,21.780844,23.955556,16.465278,27.321667,24.083333,17.366667,25.680556,32.716667,13.673333,20.967500,22.366667,29.587500,17.083333,27.505556,28.248333,25.533333,23.450000,22.476667,24.188889,35.233333,24.630045,21.683333,3.650000,40.380556,35.247222,19.736111,8.066667,13.433333,24.233333,25.961111,18.600000,22.333333,19.178431,30.450000,15.439542,10.943434,54.572222,36.463333,26.638889,27.600000,26.036174,30.946667,26.486961,35.024444,12.333333,5.116667,12.683333,15.288095,21.150000,18.391667,13.500000,62.708333,24.846772,17.833333,24.633333,inf,inf,inf,24.872222,22.438506,32.050000,48.804167,inf,43.296772,19.839712,26.490573,25.703098,36.244444,16.822093,36.700000,39.304167,21.811111,21.686111,9.622222,21.966667,28.508333,21.266667,26.783761,17.836667,18.883333,21.750000,7.961765,18.283333,14.750000,15.783333,29.447222,4.783333,9.033333,23.816667,19.891667,8.454167,29.785404,14.023810,14.998545,21.966667,21.994029,24.655026,14.531250,11.733333,20.525000,18.333333,38.633333,27.450000,17.633333,11.516667,22.000000,37.382576,27.902778,47.372222,14.693056,27.178240,22.466667,14.583333,24.229693,20.668333,23.432609,19.558333,34.527778,16.342484,15.333333,16.094608,17.291667,16.053472,17.533333,47.783333,11.912500,26.363333,17.500000,51.537500,29.195098,29.341667,7.839815,25.050000,21.572222,21.100000,16.770098,32.841667,24.600000,25.787064,43.794444,33.001111,21.556667,28.900000,24.950000,9.416667,9.216667,13.333333,28.713889,14.633333,10.883333,20.455556,inf,27.372222,36.350000,13.114815,17.422222,62.625000,22.516667,49.783333,15.748611,10.511765,25.800000,31.722222,26.031802,18.616667,18.966667,43.566667,11.050000,13.744444,16.083333,14.650000,14.483333,18.600000,36.161111,28.333333,0.500000,22.245238,22.933333,14.529889,32.229167,24.633333,18.951587,24.490034,25.633333,18.755556,18.177778,22.238889,20.083333,14.712539,18.105744,20.381505,20.455970,30.850000,21.555556,23.478431,14.905556,17.194444,53.794444,21.022222,19.707407,17.516667,21.288889,20.100000,47.828431,12.828431,12.066667,17.833333,19.733333,16.866667,27.880556,21.516667,29.644444,5.838889,28.869281,11.200000,9.616667
9,49.700000,42.204386,40.911111,26.871847,59.983333,36.016667,24.183333,27.738889,0.000000,21.194444,46.672222,27.875000,32.019225,35.622222,25.711111,26.000000,27.300000,42.125000,23.661111,42.639855,42.733333,42.916667,55.766667,35.034969,30.675000,44.542593,47.858333,21.127778,40.716667,42.932143,39.133333,34.161111,27.022222,28.972222,43.477778,29.274444,27.643333,28.464583,35.018889,32.816667,34.252564,30.994444,24.950000,59.077778,31.982509,42.561111,33.477778,30.319048,29.683333,27.183333,43.272222,28.466667,24.783333,32.716667,38.694444,22.444444,17.241667,39.543056,40.305556,23.061111,38.006667,36.600000,27.208333,32.183333,26.342593,20.300000,42.688889,30.112963,33.894444,21.775000,45.533333,43.327778,32.177778,30.016667,26.120000,33.397222,31.938889,38.947222,25.423795,20.138889,41.819231,6.950000,13.853333,68.306667,42.844444,37.150000,30.386111,29.778230,39.717778,26.600000,41.002222,25.575000,17.327778,33.030556,17.687500,18.294444,30.663636,17.450000,65.629630,25.466667,30.044444,24.350000,inf,inf,inf,30.916667,23.718859,38.027778,59.522222,inf,43.916667,26.722917,25.144444,29.001396,36.933333,28.783333,42.677778,50.022222,29.791667,37.416667,12.850000,27.944444,39.322222,27.244444,23.133333,35.961667,38.611111,41.477778,17.319231,18.150000,18.600000,21.750000,41.005180,16.994444,16.094444,42.916667,18.575000,19.172222,26.900000,22.183333,24.916667,29.175000,32.712085,30.335745,20.566667,18.900000,34.911111,30.223669,44.611111,39.477778,34.244208,31.863889,41.727778,43.349242,33.880556,53.955324,14.027778,29.195506,35.230556,11.727778,27.430000,20.350000,29.266667,22.479630,40.505556,35.979108,27.544444,32.683333,37.638889,20.991667,13.233333,55.238889,21.411905,42.166667,28.816667,60.486111,37.811111,40.155556,28.187037,26.725000,35.306667,33.552778,26.127564,42.760897,36.811111,24.088889,49.772222,41.255556,30.327778,39.333333,18.550000,7.900000,23.326296,33.416667,29.000000,16.931250,16.861111,21.869444,inf,40.111111,45.205556,26.875000,27.933333,65.546296,17.550000,50.575000,26.466667,19.869231,25.927778,37.700000,28.142043,32.361111,32.210897,44.255556,17.027778,19.722222,26.447222,20.627778,20.461111,38.947222,36.850000,34.311111,20.847222,24.708376,24.127778,19.276667,40.422222,36.844444,20.483333,31.351305,26.425000,24.500000,22.425000,24.461111,34.208333,31.222866,26.908333,33.159146,32.651642,40.308333,40.716667,32.835897,35.252778,35.411111,57.358333,27.183333,26.250000,37.863889,27.871991,35.166667,53.697222,22.185897,30.191667,38.180556,24.027778,27.497917,32.166667,23.191667,44.072222,19.573333,31.308333,27.519536,28.201939
10,51.965765,28.163645,33.304167,28.776603,60.743934,31.294444,21.673864,21.960081,16.400000,0.000000,36.766667,28.850000,28.483333,30.900000,16.487500,20.800000,28.958333,35.291667,14.437500,24.666667,28.327778,29.605556,51.516667,28.466667,21.850000,40.255556,39.366667,2.850000,26.311111,28.891402,32.033333,24.937500,28.493333,24.050000,22.283333,22.691667,21.983333,21.700000,20.613333,29.414286,27.194792,21.770833,29.607500,49.854167,28.437500,38.421747,28.083333,26.720091,29.625000,21.404525,30.933333,28.291667,20.354167,30.647222,25.383333,12.383333,25.906747,30.533333,34.526747,17.666667,30.565000,26.958333,18.716667,23.233333,23.150000,23.800000,33.683333,26.883333,24.670833,16.177500,30.105556,30.183333,22.954167,20.793056,25.713141,18.991667,17.533333,32.170370,24.550000,20.277778,24.383333,17.195370,17.087500,64.330303,35.173333,29.044872,31.233333,31.317188,29.656667,27.360601,21.000000,16.351389,8.104167,29.445833,15.621429,19.527778,27.047500,18.109722,68.308333,29.200000,20.820833,20.166667,inf,inf,inf,30.583333,22.450000,23.622222,53.743414,inf,42.917593,19.958333,23.955556,25.775000,32.211111,22.833333,29.366667,44.243414,30.133333,31.466667,12.609722,16.733333,27.225000,13.933333,26.316667,20.933333,23.408333,26.275000,20.605044,8.453704,12.206667,7.709259,32.300000,7.770833,9.959259,33.220370,25.496667,13.393414,21.711330,26.166667,22.711111,27.347946,26.933277,25.183333,18.558333,24.937500,25.687500,26.908333,31.300000,26.166667,30.229167,28.102000,26.525000,29.308502,19.475000,47.100000,14.333333,32.034743,30.358333,12.961111,25.400000,23.477778,29.037414,25.727778,26.100000,29.071429,18.320833,28.747297,33.133333,22.983333,19.316667,43.216667,11.566667,37.691667,11.433333,56.330093,28.766667,28.058333,15.775000,18.233333,31.330303,23.183333,23.725000,36.099259,18.533333,22.325000,35.366667,20.816667,20.266667,36.483333,19.020370,12.404167,23.537667,26.059722,32.825000,10.166667,13.870833,23.102778,inf,30.887500,30.800000,21.050000,20.366667,68.794444,7.300000,45.608333,20.687858,17.466667,26.233333,21.483333,27.283333,23.137500,29.504167,39.533333,13.654167,5.316667,21.133333,8.250000,15.066667,31.983333,32.127778,21.116667,17.262500,23.016667,24.433333,23.177778,35.216667,27.620833,24.531250,29.429281,30.683333,23.858333,22.766667,27.402778,33.754167,28.798611,23.426667,31.364525,29.316583,31.400000,31.491667,30.433333,26.299405,25.800000,51.541311,26.183333,27.750000,31.237500,29.566667,30.000000,45.466667,17.441667,24.454131,33.050000,22.320833,20.733333,28.583333,24.504167,29.400000,16.491667,31.436667,22.844444,25.287500
